,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Tampa Bay Buccaneers,20658.08,32.0,15415.079999999998,31.0,18036.58,32.0,4518.0,31.0,3206.8800000000006,28.0,12933.2,30.0,10311.7,29.0,7690.2,28.0
Buffalo Bills,20630.019999999997,31.0,15439.019999999999,32.0,18034.519999999997,31.0,4168.3,17.0,3321.92,32.0,13139.800000000001,32.0,10544.300000000001,32.0,7948.8,32.0
Carolina Panthers,20356.659999999996,30.0,15282.66,30.0,17819.659999999996,30.0,4457.0,29.0,3158.7599999999998,25.0,12740.900000000001,24.0,10203.900000000001,24.0,7666.9,27.0
Oakland Raiders,20322.520000000004,29.0,15058.520000000002,26.0,17690.520000000004,27.0,4228.999999999999,22.0,3164.7200000000007,26.0,12928.8,29.0,10296.800000000001,28.0,7664.8,26.0
Miami Dolphins,20315.64,28.0,15175.64,29.0,17745.64,29.0,4169.9,18.0,3253.640000000001,29.0,12892.100000000002,28.0,10322.1,30.0,7752.099999999999,31.0
Denver Broncos,20303.18,27.0,15160.179999999998,28.0,17731.68,28.0,4380.200000000001,25.0,3128.28,24.0,12794.7,27.0,10223.2,26.0,7651.700000000001,24.0
New York Jets,20222.6,26.0,15091.599999999999,27.0,17657.1,26.0,4254.199999999999,23.0,3184.4000000000005,27.0,12784.0,26.0,10218.5,25.0,7653.0,25.0
New Orleans Saints,20194.28,25.0,15050.279999999999,24.0,17622.280000000002,25.0,4448.2,28.0,3088.88,20.0,12657.200000000003,20.0,10085.200000000003,21.0,7513.2,20.0
Kansas City Chiefs,20089.88,24.0,14902.880000000001,21.0,17496.38,21.0,4275.3,24.0,3097.8799999999997,23.0,12716.7,22.0,10123.2,22.0,7529.7,22.0
Minnesota Vikings,20086.719999999998,23.0,15026.720000000001,22.0,17556.72,23.0,4428.400000000001,27.0,3065.52,16.0,12592.8,19.0,10062.8,19.0,7532.8,23.0
Atlanta Falcons,20081.8,22.0,15048.800000000001,23.0,17565.3,24.0,4464.799999999999,30.0,3070.0,17.0,12547.000000000002,18.0,10030.500000000002,18.0,7514.0,21.0
San Francisco 49ers,20047.400000000005,21.0,15056.400000000001,25.0,17551.9,22.0,4050.2,15.0,3277.2,31.0,12720.0,23.0,10224.5,27.0,7729.0,29.0
New England Patriots,20041.080000000005,20.0,14777.08,20.0,17409.08,20.0,4182.1,20.0,3082.2799999999997,19.0,12776.7,25.0,10144.7,23.0,7512.7,19.0
Green Bay Packers,19859.140000000003,19.0,14670.14,18.0,17264.640000000003,18.0,4112.2,16.0,3074.84,18.0,12672.1,21.0,10077.599999999999,20.0,7483.1,18.0
St. Louis Rams,19811.94,18.0,14608.939999999999,16.0,17210.44,17.0,3612.7000000000003,4.0,3254.6400000000003,30.0,12944.6,31.0,10343.099999999999,31.0,7741.5999999999985,30.0
San Diego Chargers,19792.36,17.0,14758.36,19.0,17275.36,19.0,4572.400000000001,32.0,2944.5600000000004,13.0,12275.400000000001,13.0,9758.400000000001,13.0,7241.400000000001,12.0
Chicago Bears,19494.380000000005,16.0,14609.380000000003,17.0,17051.88,16.0,4380.599999999999,26.0,2963.08,15.0,12150.699999999999,11.0,9708.199999999999,11.0,7265.699999999999,14.0
Arizona Cardinals,19406.679999999997,15.0,14344.680000000002,14.0,16875.68,14.0,3813.5,8.0,3091.4800000000005,21.0,12501.699999999999,17.0,9970.699999999999,17.0,7439.699999999999,16.0
Seattle Seahawks,19330.260000000002,14.0,14448.26,15.0,16889.260000000002,15.0,3896.9,13.0,3094.96,22.0,12338.400000000001,14.0,9897.400000000001,16.0,7456.4,17.0
Tennessee Titans,19321.8,13.0,14290.8,13.0,16806.3,13.0,4181.8,19.0,2886.0,10.0,12253.999999999998,12.0,9738.5,12.0,7223.000000000001,11.0
Indianapolis Colts,19213.76,12.0,14173.759999999998,12.0,16693.76,12.0,3881.2,11.0,2944.16,12.0,12388.400000000001,16.0,9868.400000000001,15.0,7348.400000000001,15.0
Detroit Lions,19138.180000000004,11.0,14034.179999999998,11.0,16586.180000000004,11.0,3893.399999999999,12.0,2879.080000000001,9.0,12365.7,15.0,9813.7,14.0,7261.699999999999,13.0
Washington Redskins,18820.0,10.0,13966.000000000002,10.0,16393.000000000004,10.0,3839.4,9.0,2947.6,14.0,12033.000000000002,9.0,9606.0,9.0,7178.999999999999,10.0
Philadelphia Eagles,18811.740000000005,9.0,13839.740000000002,9.0,16325.740000000002,9.0,3773.1,7.0,2905.04,11.0,12133.599999999997,10.0,9647.599999999999,10.0,7161.6,9.0
Jacksonville Jaguars,18783.18,8.0,13744.180000000002,8.0,16263.68,8.0,4190.599999999999,21.0,2681.8800000000006,5.0,11910.699999999999,6.0,9391.199999999999,4.0,6871.699999999999,4.0
Houston Texans,18650.600000000002,7.0,13653.599999999999,7.0,16152.1,7.0,4043.1999999999994,14.0,2676.4000000000005,4.0,11931.0,7.0,9432.5,5.0,6934.0,5.0
Dallas Cowboys,18352.379999999997,6.0,13573.380000000001,6.0,15962.880000000001,6.0,3704.1000000000004,6.0,2816.08,7.0,11832.199999999999,4.0,9442.699999999999,7.0,7053.199999999999,8.0
New York Giants,18349.800000000003,5.0,13452.800000000001,5.0,15901.300000000003,5.0,3532.2999999999997,1.0,2877.0,8.0,11940.499999999998,8.0,9492.0,8.0,7043.5,7.0
Pittsburgh Steelers,18324.06,4.0,13431.060000000001,4.0,15877.560000000001,4.0,3681.099999999999,5.0,2760.56,6.0,11882.4,5.0,9435.9,6.0,6989.400000000001,6.0
Baltimore Ravens,18082.5,3.0,13252.500000000002,3.0,15667.500000000002,3.0,3874.7,10.0,2636.8,3.0,11571.0,3.0,9156.0,3.0,6741.000000000001,3.0
Cincinnati Bengals,17736.980000000003,2.0,12854.980000000003,2.0,15295.980000000003,2.0,3605.5,3.0,2563.28,1.0,11568.199999999999,2.0,9127.199999999999,2.0,6686.200000000001,2.0
Cleveland Browns,17654.88,1.0,12796.88,1.0,15225.880000000001,1.0,3577.6999999999994,2.0,2599.48,2.0,11477.700000000003,1.0,9048.700000000003,1.0,6619.700000000001,1.0
